id,name,series_id/id
__setup__.product_reporting_system_industrial_performance_hx600_series_hx600,HX600,__setup__.product_reporting_series_industrial_performance_hx600_series
__setup__.product_reporting_system_industrial_performance_hx600_series_hx610,HX610,__setup__.product_reporting_series_industrial_performance_hx600_series
__setup__.product_reporting_system_industrial_performance_ml400_series_ml400_other_,ML400 (Other),__setup__.product_reporting_series_industrial_performance_ml400_series
__setup__.product_reporting_system_industrial_performance_ml400_series_ml400b_50,ML400B-50,__setup__.product_reporting_series_industrial_performance_ml400_series
__setup__.product_reporting_system_industrial_performance_ml400_series_ml400g_10,ML400G-10,__setup__.product_reporting_series_industrial_performance_ml400_series
__setup__.product_reporting_system_industrial_performance_ml400_series_ml400g_12,ML400G-12,__setup__.product_reporting_series_industrial_performance_ml400_series
__setup__.product_reporting_system_industrial_performance_ml400_series_ml400g_14,ML400G-14,__setup__.product_reporting_series_industrial_performance_ml400_series
__setup__.product_reporting_system_industrial_performance_ml400_series_ml400g_30,ML400G-30,__setup__.product_reporting_series_industrial_performance_ml400_series
__setup__.product_reporting_system_industrial_performance_ml400_series_ml400g_50,ML400G-50,__setup__.product_reporting_series_industrial_performance_ml400_series
__setup__.product_reporting_system_industrial_performance_ml400_series_ml400g_51,ML400G-51,__setup__.product_reporting_series_industrial_performance_ml400_series
__setup__.product_reporting_system_industrial_performance_ml400_series_ml400g_52,ML400G-52,__setup__.product_reporting_series_industrial_performance_ml400_series
__setup__.product_reporting_system_industrial_performance_ml400_series_ml450g_10,ML450G-10,__setup__.product_reporting_series_industrial_performance_ml400_series
__setup__.product_reporting_system_industrial_performance_ml400_series_ml450g_11,ML450G-11,__setup__.product_reporting_series_industrial_performance_ml400_series
__setup__.product_reporting_system_industrial_performance_ml400_series_ml450g_12,ML450G-12,__setup__.product_reporting_series_industrial_performance_ml400_series
__setup__.product_reporting_system_industrial_performance_ml400_series_ml450g_50,ML450G-50,__setup__.product_reporting_series_industrial_performance_ml400_series
__setup__.product_reporting_system_industrial_performance_ml400_series_ml450g_51,ML450G-51,__setup__.product_reporting_series_industrial_performance_ml400_series
